CITY;DIST_LABEL;DIST_NUM;DIST_NAME
CHICAGO;17TH;17;Albany Park
CHICAGO;20TH;20;Lincoln
CHICAGO;31ST;31;Norridge
CHICAGO;19TH;19;Town Hall
CHICAGO;25TH;25;Grand Central
CHICAGO;14TH;14;Shakespeare
CHICAGO;22ND;22;Morgan Park
CHICAGO;5TH;5;Calumet
CHICAGO;24TH;24;Rogers Park
CHICAGO;16TH;16;Jefferson Park
CHICAGO;8TH;8;Chicago Lawn
CHICAGO;18TH;18;Near North
CHICAGO;12TH;12;Near West
CHICAGO;11TH;11;Harrison
CHICAGO;7TH;7;Englewood
CHICAGO;3RD;3;Grand Crossing
CHICAGO;4TH;4;South Chicago
CHICAGO;6TH;6;Gresham
CHICAGO;10TH;10;Ogden
CHICAGO;1ST;1;Central
CHICAGO;9TH;9;Deering
CHICAGO;2ND;2;Wentworth
CHICAGO;15TH;15;Austin
